 Date,CL1 Close,CL1 Adj. Close
5/11/2020,24.39,24.39
5/8/2020,24.74,24.74
5/7/2020,23.55,23.55
5/6/2020,23.99,23.99
5/5/2020,24.56,24.56
5/4/2020,20.39,20.39
5/1/2020,19.78,19.78
4/30/2020,18.84,18.84
4/29/2020,15.06,15.06
4/28/2020,12.34,12.34
4/27/2020,12.78,12.78
4/24/2020,16.94,16.94
4/23/2020,16.5,16.5
4/22/2020,13.78,13.78
4/21/2020,10.01,10.01
4/20/2020,-37.63,-37.63
4/17/2020,18.27,18.27
4/16/2020,19.87,19.87
4/15/2020,19.87,19.87
4/14/2020,20.11,20.11
4/13/2020,22.41,22.41
4/10/2020,23.19,23.19
4/9/2020,22.76,22.76
4/8/2020,25.09,25.09
4/7/2020,23.63,23.63
4/6/2020,26.08,26.08
4/3/2020,28.34,28.34
4/2/2020,25.32,25.32
4/1/2020,20.31,20.31
3/31/2020,20.48,20.48
3/30/2020,20.1,20.1
3/27/2020,21.51,21.51
3/26/2020,22.6,22.6
3/25/2020,24.32,24.32
3/24/2020,24.1,24.1
3/23/2020,23.36,23.36
3/20/2020,22.63,22.63
3/19/2020,25.22,25.22
3/18/2020,20.37,20.37
3/17/2020,26.86,26.86
3/16/2020,28.57,28.57
3/13/2020,32.9,32.9
3/12/2020,30.99,30.99
3/11/2020,33.11,33.11
3/10/2020,34.78,34.78
3/9/2020,30.21,30.21
3/6/2020,41.56,41.56
3/5/2020,45.89,45.89
3/4/2020,47.06,47.06
3/3/2020,47.25,47.25
3/2/2020,46.77,46.77
2/28/2020,44.76,44.76
2/27/2020,47.09,47.09
2/26/2020,48.73,48.73
2/25/2020,49.9,49.9
2/24/2020,51.43,51.43
2/21/2020,53.44,53.44
2/20/2020,53.78,53.78
2/19/2020,53.29,53.29
2/18/2020,52.05,52.05
2/17/2020,52.42,52.42
2/14/2020,52.05,52.05
2/13/2020,51.42,51.42
2/12/2020,51.17,51.17
2/11/2020,49.94,49.94
2/10/2020,49.57,49.57
2/7/2020,50.38,50.38
2/6/2020,50.95,50.95
2/5/2020,50.75,50.75
2/4/2020,49.61,49.61
2/3/2020,50.11,50.11
1/31/2020,51.53,51.53
1/30/2020,52.14,52.14
1/29/2020,53.33,53.33
1/28/2020,53.48,53.48
1/27/2020,53.14,53.14
1/24/2020,54.49,54.49
1/23/2020,55.59,55.59
1/22/2020,56.31,56.31
1/21/2020,58.37,58.37
1/20/2020,58.8,58.8
1/17/2020,58.85,58.85
1/16/2020,58.52,58.52
1/15/2020,57.84,57.84
1/14/2020,58.23,58.23
1/13/2020,58.25,58.25
1/12/2020,58.84,58.84
1/10/2020,59.08,59.08
1/9/2020,59.55,59.55
1/8/2020,59.46,59.46
1/7/2020,62.51,62.51
1/6/2020,63.27,63.27
1/5/2020,63.54,63.54
1/3/2020,62.86,62.86
1/2/2020,61.01,61.01
1/1/2020,61.19,61.19
12/31/2019,60.76,60.76
12/30/2019,61.4,61.4
12/29/2019,61.55,61.55
12/27/2019,61.49,61.49
12/26/2019,61.53,61.53
12/25/2019,61.05,61.05
12/24/2019,61.06,61.06
12/23/2019,60.42,60.42
12/20/2019,60.19,60.19
12/19/2019,61.22,61.22
12/18/2019,60.95,60.95
12/17/2019,60.68,60.68
12/16/2019,60.22,60.22
12/15/2019,59.88,59.88
12/13/2019,59.88,59.88
12/12/2019,59.49,59.49
12/11/2019,58.95,58.95
12/10/2019,59.14,59.14
12/9/2019,58.9,58.9
12/8/2019,59.12,59.12
12/6/2019,59.1,59.1
12/5/2019,58.33,58.33
12/4/2019,58.47,58.47
12/3/2019,56.42,56.42
12/2/2019,56.1,56.1
12/1/2019,55.87,55.87
11/29/2019,55.49,55.49
11/28/2019,58.12,58.12
11/27/2019,58.06,58.06
11/26/2019,58.36,58.36
11/25/2019,57.95,57.95
11/24/2019,57.99,57.99
11/22/2019,57.94,57.46
11/21/2019,58.58,58.58
11/20/2019,57.12,57.12
11/19/2019,55.23,55.23
11/18/2019,56.91,56.91
11/17/2019,57.89,57.89
11/15/2019,57.94,57.94
11/14/2019,56.91,56.91
11/13/2019,57.12,57.12
