date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes,month_year
2007-08-01,21.0,0.04,0.191,CES0500000003,2020-06-18,2020-06-18,"Average Hourly Earnings of All Employees, Total Private",2006-03-01,2020-05-01,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2020-06-05 08:32:11-05,74,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000003,08-2007
2007-09-01,21.04,0.04,0.19,CES0500000003,2020-06-18,2020-06-18,"Average Hourly Earnings of All Employees, Total Private",2006-03-01,2020-05-01,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2020-06-05 08:32:11-05,74,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000003,09-2007
2007-10-01,21.06,0.02,0.095,CES0500000003,2020-06-18,2020-06-18,"Average Hourly Earnings of All Employees, Total Private",2006-03-01,2020-05-01,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2020-06-05 08:32:11-05,74,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000003,10-2007
2007-11-01,21.12,0.06,0.285,CES0500000003,2020-06-18,2020-06-18,"Average Hourly Earnings of All Employees, Total Private",2006-03-01,2020-05-01,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2020-06-05 08:32:11-05,74,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000003,11-2007
2007-12-01,21.18,0.06,0.284,CES0500000003,2020-06-18,2020-06-18,"Average Hourly Earnings of All Employees, Total Private",2006-03-01,2020-05-01,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2020-06-05 08:32:11-05,74,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000003,12-2007
2008-01-01,21.19,0.01,0.047,CES0500000003,2020-06-18,2020-06-18,"Average Hourly Earnings of All Employees, Total Private",2006-03-01,2020-05-01,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2020-06-05 08:32:11-05,74,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000003,01-2008
2008-02-01,21.26,0.07,0.33,CES0500000003,2020-06-18,2020-06-18,"Average Hourly Earnings of All Employees, Total Private",2006-03-01,2020-05-01,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2020-06-05 08:32:11-05,74,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000003,02-2008
2008-03-01,21.36,0.1,0.47,CES0500000003,2020-06-18,2020-06-18,"Average Hourly Earnings of All Employees, Total Private",2006-03-01,2020-05-01,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2020-06-05 08:32:11-05,74,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000003,03-2008
2008-04-01,21.37,0.01,0.047,CES0500000003,2020-06-18,2020-06-18,"Average Hourly Earnings of All Employees, Total Private",2006-03-01,2020-05-01,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2020-06-05 08:32:11-05,74,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000003,04-2008
2008-05-01,21.47,0.1,0.468,CES0500000003,2020-06-18,2020-06-18,"Average Hourly Earnings of All Employees, Total Private",2006-03-01,2020-05-01,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2020-06-05 08:32:11-05,74,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000003,05-2008
2008-06-01,21.52,0.05,0.233,CES0500000003,2020-06-18,2020-06-18,"Average Hourly Earnings of All Employees, Total Private",2006-03-01,2020-05-01,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2020-06-05 08:32:11-05,74,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000003,06-2008
