date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes,month_year
2000-11-01,-0.3,-0.1,50.0,MARTSMPCSM44X72USS,2020-06-18,2020-06-18,"Advance Retail Sales: Retail and Food Services, Total",1992-02-01,2020-05-01,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2020-06-16 07:41:20-05,33,The value for the most recent month is an advance estimate that is based on data from a subsample of firms from the larger Monthly Retail Trade Survey. The advance estimate will be superseded in following months by revised estimates derived from the larger Monthly Retail Trade Survey. The associated series from the Monthly Retail Trade Survey is available at https://fred.stlouisfed.org/series/MRTSMPCSM44X72USS   Information about the Advance Monthly Retail Sales Survey can be found on the Census website at https://www.census.gov/retail/marts/about_the_surveys.html,11-2000
2000-12-01,-0.1,0.2,-66.667,MARTSMPCSM44X72USS,2020-06-18,2020-06-18,"Advance Retail Sales: Retail and Food Services, Total",1992-02-01,2020-05-01,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2020-06-16 07:41:20-05,33,The value for the most recent month is an advance estimate that is based on data from a subsample of firms from the larger Monthly Retail Trade Survey. The advance estimate will be superseded in following months by revised estimates derived from the larger Monthly Retail Trade Survey. The associated series from the Monthly Retail Trade Survey is available at https://fred.stlouisfed.org/series/MRTSMPCSM44X72USS   Information about the Advance Monthly Retail Sales Survey can be found on the Census website at https://www.census.gov/retail/marts/about_the_surveys.html,12-2000
2001-01-01,1.1,1.2,-1200.0,MARTSMPCSM44X72USS,2020-06-18,2020-06-18,"Advance Retail Sales: Retail and Food Services, Total",1992-02-01,2020-05-01,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2020-06-16 07:41:20-05,33,The value for the most recent month is an advance estimate that is based on data from a subsample of firms from the larger Monthly Retail Trade Survey. The advance estimate will be superseded in following months by revised estimates derived from the larger Monthly Retail Trade Survey. The associated series from the Monthly Retail Trade Survey is available at https://fred.stlouisfed.org/series/MRTSMPCSM44X72USS   Information about the Advance Monthly Retail Sales Survey can be found on the Census website at https://www.census.gov/retail/marts/about_the_surveys.html,01-2001
2001-02-01,0.0,-1.1,-100.0,MARTSMPCSM44X72USS,2020-06-18,2020-06-18,"Advance Retail Sales: Retail and Food Services, Total",1992-02-01,2020-05-01,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2020-06-16 07:41:20-05,33,The value for the most recent month is an advance estimate that is based on data from a subsample of firms from the larger Monthly Retail Trade Survey. The advance estimate will be superseded in following months by revised estimates derived from the larger Monthly Retail Trade Survey. The associated series from the Monthly Retail Trade Survey is available at https://fred.stlouisfed.org/series/MRTSMPCSM44X72USS   Information about the Advance Monthly Retail Sales Survey can be found on the Census website at https://www.census.gov/retail/marts/about_the_surveys.html,02-2001
2001-03-01,-0.8,-0.8,-inf,MARTSMPCSM44X72USS,2020-06-18,2020-06-18,"Advance Retail Sales: Retail and Food Services, Total",1992-02-01,2020-05-01,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2020-06-16 07:41:20-05,33,The value for the most recent month is an advance estimate that is based on data from a subsample of firms from the larger Monthly Retail Trade Survey. The advance estimate will be superseded in following months by revised estimates derived from the larger Monthly Retail Trade Survey. The associated series from the Monthly Retail Trade Survey is available at https://fred.stlouisfed.org/series/MRTSMPCSM44X72USS   Information about the Advance Monthly Retail Sales Survey can be found on the Census website at https://www.census.gov/retail/marts/about_the_surveys.html,03-2001
2001-04-01,1.6,2.4,-300.0,MARTSMPCSM44X72USS,2020-06-18,2020-06-18,"Advance Retail Sales: Retail and Food Services, Total",1992-02-01,2020-05-01,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2020-06-16 07:41:20-05,33,The value for the most recent month is an advance estimate that is based on data from a subsample of firms from the larger Monthly Retail Trade Survey. The advance estimate will be superseded in following months by revised estimates derived from the larger Monthly Retail Trade Survey. The associated series from the Monthly Retail Trade Survey is available at https://fred.stlouisfed.org/series/MRTSMPCSM44X72USS   Information about the Advance Monthly Retail Sales Survey can be found on the Census website at https://www.census.gov/retail/marts/about_the_surveys.html,04-2001
2001-05-01,0.2,-1.4,-87.5,MARTSMPCSM44X72USS,2020-06-18,2020-06-18,"Advance Retail Sales: Retail and Food Services, Total",1992-02-01,2020-05-01,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2020-06-16 07:41:20-05,33,The value for the most recent month is an advance estimate that is based on data from a subsample of firms from the larger Monthly Retail Trade Survey. The advance estimate will be superseded in following months by revised estimates derived from the larger Monthly Retail Trade Survey. The associated series from the Monthly Retail Trade Survey is available at https://fred.stlouisfed.org/series/MRTSMPCSM44X72USS   Information about the Advance Monthly Retail Sales Survey can be found on the Census website at https://www.census.gov/retail/marts/about_the_surveys.html,05-2001
2001-06-01,-0.4,-0.6,-300.0,MARTSMPCSM44X72USS,2020-06-18,2020-06-18,"Advance Retail Sales: Retail and Food Services, Total",1992-02-01,2020-05-01,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2020-06-16 07:41:20-05,33,The value for the most recent month is an advance estimate that is based on data from a subsample of firms from the larger Monthly Retail Trade Survey. The advance estimate will be superseded in following months by revised estimates derived from the larger Monthly Retail Trade Survey. The associated series from the Monthly Retail Trade Survey is available at https://fred.stlouisfed.org/series/MRTSMPCSM44X72USS   Information about the Advance Monthly Retail Sales Survey can be found on the Census website at https://www.census.gov/retail/marts/about_the_surveys.html,06-2001
2001-07-01,-0.3,0.1,-25.0,MARTSMPCSM44X72USS,2020-06-18,2020-06-18,"Advance Retail Sales: Retail and Food Services, Total",1992-02-01,2020-05-01,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2020-06-16 07:41:20-05,33,The value for the most recent month is an advance estimate that is based on data from a subsample of firms from the larger Monthly Retail Trade Survey. The advance estimate will be superseded in following months by revised estimates derived from the larger Monthly Retail Trade Survey. The associated series from the Monthly Retail Trade Survey is available at https://fred.stlouisfed.org/series/MRTSMPCSM44X72USS   Information about the Advance Monthly Retail Sales Survey can be found on the Census website at https://www.census.gov/retail/marts/about_the_surveys.html,07-2001
2001-08-01,0.7,1.0,-333.333,MARTSMPCSM44X72USS,2020-06-18,2020-06-18,"Advance Retail Sales: Retail and Food Services, Total",1992-02-01,2020-05-01,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted,SA,2020-06-16 07:41:20-05,33,The value for the most recent month is an advance estimate that is based on data from a subsample of firms from the larger Monthly Retail Trade Survey. The advance estimate will be superseded in following months by revised estimates derived from the larger Monthly Retail Trade Survey. The associated series from the Monthly Retail Trade Survey is available at https://fred.stlouisfed.org/series/MRTSMPCSM44X72USS   Information about the Advance Monthly Retail Sales Survey can be found on the Census website at https://www.census.gov/retail/marts/about_the_surveys.html,08-2001
