date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,month_year
2001-12-01,165304.0,1493.0,0.911,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,12-2001
2002-01-01,163324.0,-1980.0,-1.198,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,01-2002
2002-02-01,172406.0,9082.0,5.561,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,02-2002
2002-03-01,167853.0,-4553.0,-2.641,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,03-2002
2002-04-01,171852.0,3999.0,2.382,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,04-2002
2002-05-01,171854.0,2.0,0.001,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,05-2002
2002-06-01,166070.0,-5784.0,-3.366,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,06-2002
2002-07-01,174282.0,8212.0,4.945,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,07-2002
2002-08-01,177126.0,2844.0,1.632,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,08-2002
2002-09-01,166838.0,-10288.0,-5.808,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,09-2002
